Job Title,Skills,Tags
".Net Web Application Developer (AWS, Azure)","address, advanced, advanced web application, advocate, agile, angular, api, api gateway, apis, architect, aws, aws lambda, azure, azure devops, azure. this, bachelors, basic qualifications, best practices, certification, ci/cd, client engagement, cloud infrastructure management, collaborate, communicate, continuous improvement, continuously, deep, degree, design, develop, devops, dynamodb, ensure, example, experience, extensive, implement, implementation, information technology, innovation, javascript, jenkins, knowledge, lead, leidos, list, master, microservices, minimum, must, net, nosql, optimize, oversee, participate, performance optimization, preferred qualifications, primary responsibilities

list, proven, provide, quality assurance, react, rest, rest api development, restful api, restful apis, sci clearance, sdlc, senior, software engineering, sql, stay, technical analysis, utilize aws, ux collaboration, vue.js, web application developer, your","Full-Stack, Backend, Cloud, Gov/Defense"
Senior .Net Developer,"adhere, agile, all, apis, apply now, apply.

why ndi, assess, assist, at ndi, azure, azure dev ops

responsibilities, benefits, ci/cd, commitment, compensation, css, dental, desired skills, develop, disabled veteran, diversity, equal opportunity employer. we, experience, familiarity, federal, federal government, html, identify, job description

the senior, legal resources, long, matched, medical, mid, military veterans encouraged, must, ndi, net developer, net sdlc, our, owned small business, paid federal holidays

requirements, paid life insurance, paid time off, pet insurance, plan, prepares, pto, public trust, qualifications, related field, science, scrum master, sdvosb, self, service, short, software development life cycle, support, take, team lead. these, technical skills, term, term disability, the developer, the sr. developer, transportation, u.s. citizenship, update, use, veterans first commitment, vision insurance, works","Full-Stack, Backend, Cloud, Gov/Defense"
".NET Developer -- Washington, District of Columbia 20002 (Onsite Position)",".net, ado.net, amount, application, asp, asp.net, based, bugzilla, business intelligence, candidate, capable, certification requirements, client, cloud, cognos, columbia, data warehouse, databases, defines, desired, district, duration, etl, experience, hp alm, including visio network, interacts, jira, job description, job title, microsoft, minimum education, mobile software applications, ms sql server, net developer
location, net framework, net technologies, ois, onsite position, oracle, other, plan, provide, provides, quality assurance, quality control, query, reports, required, seeks, senior application developer, server, service oriented architecture, sharp, skill, snap app, sops, sql, the senior application developer, updates, uses, visual studio, washington, wcf, web, windows communication foundation, works, years","Backend, Gov/Defense"
.NET Developer,"advanced, advanced etl, agile, agile experience, ajax, amazon aws, aws, azure, bootstrap, build cots, businessobject, cloud, code analysis, code cover, coldfusion, css3, development, dynamics crm2013, entityframework6, experience, focus, hands, html5, in owings mills, java, jira, jquery, jquery plugin, key skills, knockout, md.

job summary, microsoft, microstrategy, minimum, must, net, net engineer, net framework, non, oracle11i, preferred experience, premise, programming languages, project management, qliksense, qlikview, restful, scrum, sdlc methodology, senior, sharepoint app, sharepoint designer, sharepoint2013, soap, software, software development experience, sql, sql server, sql server bi, sql2012, sql2014, ssas, ssis, ssrs, support, svn, talex, team collaboration, team foundation server2013, technical skills, tsql, use, visio, visual studio, vss, wcf, xml, xslt","Full-Stack, Backend, Cloud"
.NET Developer with LIMS experience,".net, about us

precise software solutions, additionally, afis, agile, anab, annual charity donation match, arlington, asp.net, asp.net mvc, assists, attention, awards, benefits and perks, business information systems, c# mvc, cmmi level, comprehensive health benefits, configures, critical illness insurance, crystal reports, degree, demonstrable, demonstrated, dental, design, desired experience, development, develops, discount, documents, education, employee referral program, engineering, evaluates, exempt

job description

we, experience, flexible spending accounts, floating, follow, follows, fsa, health savings account, high, high deductible health, hsa, iafis, iec, inc, innovation, insurance, iso, job title, knowledge, labx, life, long, maintains starlims, management information systems, medical, mettler, microsoft iis, microsoft windows server, ms office, ms sql server database, mvc, net scientific, paid jury duty, paid parental leave, paid time off, pentagon city, performs, precise, provides, pto, public trust, recognition

our equal employment opportunity policy

precise, requirements, retirement plan, sba, scientific laboratory, sdlc, sdms, short term, smes, sql, starlims, starlims developer

fsla status, starlims developerfor, successful, swgde, swgdrug, swgfast, term disability, toledo, training, training

bachelor, two, u.s. citizen.

duties, virginia, vision, web development experience, web service, wellness incentives","Backend, Gov/Defense"
Sr Software developer (.net),".net, all, angularjs, asmx, asp.net, communicate, css, develop, developer, dts, effectively, engineering or, experience, from fortune, herndon, html, html5, inc, information technology, interpret, javascript, json, kamsa, linq, microsoft sql server, microsoft stack, mvc, net, object oriented development practices, product team leads, project manager, query analyzer, rdbms, requirements, responsibilities, rest, sdlc, since, software, software development life cycle, sql, sr software, ssis, stored procedures, thoroughly, va

this senior software developer, washington, wcf, web service technologies, work, working, xml","Full-Stack, Backend"
.NET Developer.....USAC,".net, asp.net, c2c
length, contract, dc
company, financial, indefinite, local, microsoft tools
classic asp.net, net
top skills, net developer
location, people, position, sql, sql server, title, usac
pay, washington, wcf",Backend
Full Stack Developer (.NET | Federal | Top Secret),".net, active top secret, additional info, ado.net, agile, ajax, aws, aws cloud, azure, azure devops, azure web apps, benefits, capacity, ci/cd, clearance, code, collaboration, css, dental, design, devops, devsecops, diversity, dos, each, fitness, follow, full stack developer, git, great, gym, highly, home, html, inclusion, industry, javascript, jquery, leading weekly pay schedule, life insurance, location, medical, microsoft sharepoint.

what, mvc, net, net core, net mvc, nice, o365, onsite, our, pto, rackner, research, sci, sci.

about, sharepoint, software engineer, sql, sql server, state department.

we, statedepartment, stored procedure, tfs, title, topsecret, udf, understand, vision, washington, wcf, web form, who we are, write","Full-Stack, Backend, Cloud, Gov/Defense"
Dotnet Developer,"asp, aws, collaborate, design, develop, docker, experience, follow, html, javascript, jenkins, lambda, ms sql server, mysql knowledge, net, qualifications, responsibilities, skills, sql, they, vbscript","Full-Stack, Backend, Cloud"
SR. & JR. .NET Developers,".net, agile, ajax, arlington, asp.net, asp.net mvc, bachelors, ballston, crystal reports, current security clearance, design, fisma, fisma software company, generics, html, humor

nice to have, information systems, infragisitcs, interim, javascript, junior, knowledge, level, linq, linux, linux sys. admin experience, linux sys. admin experience

junior, mid, multi, must, mvc, net, net developer, nist, object oriented development, scap, schemas, senior, sense, software development, source control, sql, stored, subversion preferred, sys. admin experience, table joins, telerik, third party ui, understanding, utilize, va

small, vb.net, wcf, web services, willingness, windows hyper, winforms, work, wpf, xml","Full-Stack, Backend, Gov/Defense"
.Net Developer III,"api, apis, authentication, authorization, clear understanding, days on site in dc
only send locals
must have legit references

be, engineering, experience, hybrid

job is, junit, knowledge, management information systems, master, minimum, net, net developer iii
washington, node, node.js, nunit, restful apis, they","Full-Stack, Backend"
FullStack .NET Developer,"angular, api, asp, experience, financial services, job description at, mvc, net, net ado, net mvc, project, reactjs at, rest, rest webservices wcf web api sql at, software, sql","Full-Stack, Backend"
.NET Developer Jobs,"active directory, adls

additional skills, agile development methodology

identity, bing translater

experience, developer, devops, exchange, extension, fsrm, git, identity management, job, management agents, management customization, mim, minimum, mvc, mvc web site development, power shell development, skills required, visual studio, windows services development","Backend, Cloud"
Senior Full Stack Python Developer,"about, aws, aws codepipeline, aws documentdb, build, collaborate, css, design, develop, devops, ecs, elasticsearch, engineering, ensure, experience, extensive, familiarity, full stack developer, html, javascript, key responsibilities, knowledge, mongodb, nosql, oop, preferred skills, proficiency, proven, python, qualifications, restful apis, role

we, spas, sql, stay, troubleshoot, utilize aws","Full-Stack, Backend, Cloud"
Senior Software Engineer,"angular, apis, are, automated performance, automating, automation testing, back end skills, bringing, camel, careers, ci/cd, code, communication, deep neural networks, deploying, devops tools, docker, experience, explore, familiarity, financial, financial engineering, financial modeling, financial models, financial models. should, fixed, fixing, foss, freddie mac, front end skills, functional testing, gaap, git, hibernate, identifying, information, java, javascript, jenkins, join, junit, keys, knowledge, kubernetes, logistic, maintaining, minimum, model application development, model applications development, modeling, models, ocp, our, our impact, participating, passion, performance, position overview, programming languages, providing apis, python, qualifications, regression, relational database, role, sas, sast, simulations, spring, spring boot, steadfast, success, then, today, typescript, web, you, your impact","Full-Stack, Backend, Cloud"
Senior .Net/C# Developer,"agile, api, azure, azure.

duties, batch, boot, clearance, cognitive, collaborates, comfortable, continuously, creating, detailed, develops, experience, have, jboss, json, master, mbi, medium background investigation, micro, microsoft sql, moq, net, net developer, oracle, oracle sql, participates, performs, position, public trust, quality, required education, required skills, rest, rest api, self, senior, several, soap, spring framework, sql, sql developer, structured query language, svn, technical skills, test framework, unit testing, us citizenship required

nice, writes, xml, xunit","Backend, Cloud, Gov/Defense"
SharePoint / .net Developer,".net, access, additional information

eeo statementcatapult consultants, ajax, all, arlington, as catapult, asp.net, c#. the, catapult, centers, civilian, company description

catapult consultants, courthouse metro, defense, disclaimer

the, equal opportunity employer.

we, for, highly, intelligence community, job description

this, medicaid services. the, medicare, object oriented development, reporting services, sharepoint, sharepoint client object model, sharepoint designer, sharepoint integration, sharepoint object model, sharepoint. this, silverlight, sql, sql server, the catapult, they, u.s, understanding, va.

qualifications, wcf, work, wpf, xml, xsd, xslt",Backend
SR DOT NET DEVELOPER,"api, c# unit, design, dotnet core, entity framework core hibernate, experience, good, javascript, job description roles, jquery html5 css3 bootstrap json. working, key skills dot net core, munit understanding, mvc, mvc web api strong, net, nunit, oops solid, orm, proven, relational database sql, responsibilities

must, rest, sharp unit testing, soa, sql, typescript, xunit","Full-Stack, Backend"
100% Remote .Net Developer Position,".net, air force.

top skills, angular, asp.net, css, details, devops, html, ideally, javascript, level, mid, mvc, net developers, net development, object, our, they","Full-Stack, Backend, Cloud"
Senior Full Stack Engineer / Java / Angular / Onsite,"angular, api, arlington, aws, bonus, ci/cd, dental, docker, elasticsearch

benefits info, engineer, good, have skills, health, java, kubernetes, lambdas, nice, posted by, professional, pto, required skills, rest, rest api, saas, shaun mcgraw, software engineer, someone, spring, they, vision","Full-Stack, Backend, Cloud, Gov/Defense"
C#/.NET Developer,"about, additionally, benefits, bootstrap, build, communicate, css, dapper, entity framework, experience, full, gather, html, iis, javascript, jobs, jquery, linq, maintain, microsoft sql server, mvc, net, net developer, net development, net mvc, nice, orms, requirements, responsibilities, sql, sql server, sql server. the, stored procedures, view, web apis, windows server, working","Full-Stack, Backend"
Sr. .NET and Power Apps Developer with Min 15yrs Exp-HYBRID (Local to DC/MD/VA Area),".net, api, approval, asp.net, asp.net mvc, automate, both webcam, canvas, canvas apps, certification requirements, contract

pay, contributes, create, creating, dataverse, dataverse.

security, delegation, design, develop, development, district, ensure, ensures, expertise, extensive, friday

experience, full, git, hybrid, immediate, implement, implement power pages, in person interview, job types, key responsibilities include

power apps development, length, leverage sharepoint, licensing, min, minimum education, model, monday, mvc, net, net developer, net developer senior, net development, net framework, oversee, participates, plans, please note, position description

direct client position

number, possesses, power apps, power automate, power bi, power pages, power platform, proficient, quickbase application design, required, responsibilities, restful, restful apis, schedule, sharepoint, solid, sql, structured query language, washington, web api, web apis, work, work address, work location, write dax, you, yrs. exp",Backend
Application Developer,"active secret clearance

preferred qualifications, ada, agile, agile development, americans, analyze, anser, apis, application developer, application re, auditing, because, code documentation, company overview

anser, compliance, customer support, dais, data analytics, day to day responsibilities, defense, degree, department, deputy assistant secretary, devops tools, disabilities act, dod, drools, engineering analysis, ensure, equal opportunity employer. we, experience, exposure, git, government, help desk, infrastructure modernization, integration support, java, jira, microsoft devops, odasd, office, operations, perform, platform, position summary

anser, python

in, recruiting, required qualifications, resilience, resolve, soapui, sql, support, testing, use, work","Backend, Cloud, Gov/Defense"
Sr. Full Stack .Net Developer,".net, agile, angular, asp, asp.net, develops, entity, extjs, full stack, mclean virginia

duration, months

job description, must, mvc, net, net developer

location, net mvc, participates, plans, revises, role, sdlc, sql, sql backend, sr. full stack, wcf, what, will, yes","Full-Stack, Backend"
Net Developer,"about us, aws, aws services, build, business, collaborate, contract assignment, create, css, degree, design, docker, html, hybrid, javascript, jenkins, job summary

we, lambda, md.

this, md.
responsibilities, net, net developer, odata, our, possess, power, powershell, proficiency, proven, regulatory, requirements, rest, rest apis, rockville, sns, sqs, technology","Full-Stack, Backend, Cloud"
"Sr .NET Developer - Rockville, MD - Hybrid",".net, agile, application, architecture exp, asp.net, aws, azure, collaborate, collaboration, communicate, communication, consolidated acquisition spending tracker, create, css, database management, design, develop, entity framework, experience, familiarity, git, good, hacap, herd, hr ethics database, hrsa, hrsa ams custom applications portal, hrsa project, html, hybrid
long, information technology, javascript, knowledge, labor employees relation database, lerd, maintain, management system, mid, moumitha dhali
talent acquisition specialist

email, mvc, net, net core, net developer
rockville, net framework, optimize, papm, perform, personnel action, previous hrsa experience, prior, proficiency, proven, qualifications, quality assurance, rapts, reasonable accommodation processing, restful apis, security, skills, software development, software development support service project. if, sql, sql server, sso, technical documentation, testing, tracking system, troubleshoot, vulnerabilities, work, write","Full-Stack, Backend, Cloud"
Senior C#/.NET Software Developer - Secret Clearance Required,".net, able, about spahr solutions group

spahr solutions group, agile, ajax, angularjs, applicants, arlington, asp.net, asp.net c# mvc, asrc federal, azure, azure devops server, candidates, cascading system sheets, classic asp, competencies, css, current secret, dea, dea suitability, desired skills, disabled veteran owned small business, dojo, drug enforcement administration, entity framework, equal opportunity employer. prospective, esri, experience, extjs, federal, federal government. spahr, front, general, gis, government, html, javascript, jquery, linq, llc, microsoft, must, mvc, nation, net, net developers, nhibernate, oracle, our, overview

spahr solutions group, participate, perform server, qualifications

education, recent, recent asp.net web forms, required skills, resharper, scrum, sdvosb, secret, senior, service, services, sharepoint, solid, spahr solutions group, sql, sql server, sterling, support, team foundation server, u.s. citizen, u.s. citizenship, unity, utilize javascript, utilize sql server, utilize wcf, va.

responsibilities

current, visual studio, windows forms, xml","Full-Stack, Backend, Cloud, Gov/Defense"
"Full Stack Engineer (70% Backend & 30% Angular) - Mclean, VA","adept, angular, angular. this, api, aurora postgres, aws, aws batch, backend, ci/cd, collaborate, contracts

mode, contribute, develop, duration, ec2, ecs, ensure, experience, expertise, familiarity, full stack engineer, gitlab, gradle, hibernate, implement, inperson

must have qualifications, interview, java, javascript, jenkins, job title, key responsibilities include, lambda, location, maven, mclean, microservices, need locals, oracle rds, participate, proficiency, provide, responsibilities

we, restful api, restful apis, senior full stack engineer, skilled, sns, spring batch, spring boot, sql, sqs, terraform

description, typescript, webex, work, write","Full-Stack, Backend, Cloud"
Full Stack .net Developer,"angular, api, autofac, bitbucket, can softtech, cansofttech, come, css, degree, dependency injection, developer

required qualifications, entity framework, experience, familiar, familiarity, full stack, git, herndon, html, ioc, javascript, job location, job title, jquery, microsoft sql server, net, net task parallel, orm, proficient, restful, sql, tpl, typescript, web api","Full-Stack, Backend"
Full Stack . Net Developer (NO C2C/ONLY LOCAL CANDIDATES),".net, action, agile, agile scrum, amerit, amerit consulting, angular, angularjs, anticipates, applicants, asp.net, asp.net mvc, assigned, bhupesh khurana

senior technical recruiter

email, bootstrap, c# asp.net mvc, candidate, candidates, client, clinical labs, computer engineering, contributes, css, currently, days onsite role, days remote, demonstrated, develops, duration, education, engineering, entity framework, experience, extension, fda, fortune, full stack, gui, have, haves, health, html, hybrid, implements, javascript, javascript frameworks, job id cfnjp00050772, jquery, location, medical, minimum, monitors, months, ms sql, ms sql server, mvc, net developer, nice, no c2c, note, only w2 candidates, our, participates, pharmaceutical, position, presents, responsible, scrum, software engineer, software engineers, sparks md, sql, strong possibility, this is hybrid, typescript, us fortune, usa, visual studio, works, you","Full-Stack, Backend, Cloud, Gov/Defense"
LATAM .Net Developer,"api, architecting, aws, azure, based, ci/cd, comfortable, current, database, databases sql, deploy, design, designing, dev ops, develop, do here, dropbox.

our, experience, familiar, full, git, good, google, latam, ljbffr, mongo, net, net developer

qu, position, rest, rest api, restful services, rosslyn, silicon valley, skills, sql, test, uber, web, what you, windows application","Backend, Cloud"
.Net Application Developer,".net, asp.net, big data, c#

additional information

only gc, citizen, cloud, company description

hello, ead, entity framework, experience, greetings, i.t, inc, java, job description

experience, jobsbridge, jquery, knowledge, mobility, must, mvc, net framework, nice, opt, provide, qualifications

net framework, silicon valley, sql, sql server, stored procedures

understanding, tables, views, web, willing","Full-Stack, Backend"
VB.Net Developer - Sys Engineer,".net, able, additionally, affirmative action, aidvantage vb.net, annual, azure, azure dev ops, candidates, compensation, deploy, description, east coast, eeo statement

active, ensure, equal opportunity employer. maximus, equivalent, essential duties, experience, familiarity, job, lead, maximum salary, maximus, meet, minimum, minimum requirements, minimum salary, ms sql server, national guard, net, object oriented programing, other, pay transparency

maximus, preferred skills, proficient, provide, qualifications, requirements

maximus, reserves, responsibilities, responsible, serve, specific essential duties, specific minimum qualifications, sql, support aidvantage, united states, us citizen, vb.net, work","Backend, Cloud, Gov/Defense"
Senior Azure Cloud / .NET Developer,".net, about ibr
imagine believe realize, affirmative action employer. we, agile, agile methods
experience, angular, api, apis
experience, application development, asp.net, asp.net
experience, atlassian tools, azure, azure cloud, bachelors, bootstrap, clearance, creation, css3
application programming interface, css3
experience, degree, design, education, equal opportunity, experience, fsa
training, full, hibernate, hsa, html5, ibr, imagine believe realize, java, javascript, jpa, json, learn, life insurance, llc, location, long term disability, management software
experience, microsoft.net, ms azure cloud development
design, must, nationwide, net, net developer, orm, our, overview
do, potential, public trust clearance
work authorization, qualifications
must, responsibilities
software, rest, scrum, senior azure cloud developer, short, soap, spring, spring security, sql, team foundation server, tfs, the senior azure cloud, time
key skills, united states citizen
hours, usage, vb.net, web services, windows, write sql, xml.
full software development life cycle experience
knowledge, years","Full-Stack, Backend, Cloud, Gov/Defense"
"Software Developer, C# .NET",".net, agile, angular, api, asp.net, at northwestern medicine, azure, azure devops, biceps, blazor, ci/cd, code, company description

at northwestern medicine, conduct, corporate compliance program, create, css, degree, develop, docker, document, ethics, experience, familiarity, front, full remote, furthering, git, html, iac, illinois, implement, implementing, information services, javascript, job description

the software developer, jobgether.com, jquery, kubernetes, kubernetes

additional information

northwestern medicine, leveraging ai, make, microsoft azure, microsoft sql server, nan, net core, net framework, northwestern medicine, northwestern medicine information services, northwestern medicine. mentor, northwestern medicine. we, other, participate, preferred, provide, qualifications

required, razor, react, ready, responsibilities, rest, source control, sql, stay, terraform, tfs, the software developer, troubleshoot, united states, usa, wcf, web, web api, web services, work","Full-Stack, Backend, Cloud, Gov/Defense"
"Sr Data Engineer, OTS DataTech & Learning Solutions","a2819532, airflow, amazon, amazon.com services llc

job id, amazonians, aws, aws emr, data, datatech, description

at opstech solutions, emr, etl, experience, gen ai, glue, hadoop, hive, java, key, nodejs, operations.

the ots datatech, ots, our, preferred qualifications, product, product.

basic qualifications, python, recruiting partner.

company, scala, spark, sql, sr data engineer, you","Backend, Cloud"
VB.Net Developer,".net, able, additionally, affirmative action, aidvantage vb.net, annual, azure, azure dev ops, candidates, compensation, deploy, description, east coast, eeo statement

active, ensure, equal opportunity employer. maximus, equivalent, essential duties, experience, familiarity, job, lead, maximum salary, maximus, meet, minimum, minimum requirements, minimum salary, ms sql server, national guard, net, object oriented programing, other, pay transparency

maximus, preferred skills, proficient, provide, qualifications, requirements

maximus, reserves, responsibilities, responsible, serve, specific essential duties, specific minimum qualifications, sql, support aidvantage, united states, us citizen, vb.net, work","Backend, Cloud, Gov/Defense"
Dot Net Developer,".net, analyze, apis, asp.net, attachments

job type, columbia, contract

pay, create, demonstrated, develop, developer
position, devops, dot, experience, hybrid
location, manage, md

job description, net, oracle, oriented architecture, participate, perform, schedule, service, test, tfs, title, unit, vb.net, wcf, work, work location","Backend, Cloud"
Sr. .NET Developer,".net, agile, analyze, applicants, asp.net, asp.net mvc, bdd, behavior driven development, design, develop, devops, experience, great, javascript, job summary, mis, ms asp.net certification, mvc, net core, net mvc, object, oriented programming, permanent residents, preferred skills, provide, public trust, rdbms, requirements, responsibilities, scrum, software developer, some, sql, sql server, tfs, tier architecture, us citizens, windows workflow foundation, work","Backend, Cloud"
